stock price ,rate of return on total assets_ROA_A,net assets income rateA,operating profit ratio,Sales Margin rate,turnover of account receivableA,rate of stock turnoverA,velocity of liquid assetsA,turnover of total capitalA, liquidity ratio,quick ratio,asset-liability ratio,equity multiplier,Total Assets Growth RateA,net profit growth rateA,increase rate of business revenue,sustainable growth rate
9.18,0.067685,0.079188,0.124552,0.119537,4.020482,3.021575,1.054428,0.566225,3.76699,3.108758,0.145261,1.169948,0.053727,-0.566747,-0.006534,0.061811
16.64,0.048631,0.063789,0.084485,0.081155,3.940915,2.376061,1.012437,0.599232,2.803924,1.955703,0.237626,1.311692,0.124522,-0.108277,-0.010879,0.04867
32.33,0.097051,0.129209,0.147776,0.131688,4.542136,3.028678,1.420313,0.736979,2.119243,1.445539,0.24888,1.331346,0.163465,0.190696,0.170526,0.129357
6.26,0.007825,0.011412,0.030535,0.020343,1.294896,5.780914,0.588785,0.38464,2.12061,1.979222,0.31432,1.458405,0.181735,3.055493,0.509185,0.008147
6.19,0.021561,0.048059,0.036339,0.043882,3.196857,0.966264,0.613634,0.491341,1.670362,0.795321,0.551361,2.228964,0.235148,0.107439,0.136493,0.043919
8.29,0.018346,0.036691,0.037656,0.034761,2.743317,5.844201,0.909598,0.527771,1.266802,1.111648,0.499978,1.999912,0.019741,0.210985,1.35091,0.038088
8.96,0.076497,0.089077,0.199679,0.202985,2.322331,2.693216,0.701527,0.37686,4.999854,4.470423,0.141224,1.164448,0.11701,1.042322,0.260446,0.071435
7.25,0.048848,0.054006,0.090504,0.080693,3.674639,11.108414,1.176269,0.605358,6.961409,6.344534,0.095512,1.105598,0.050333,-0.166726,-0.125132,0.026832
8.91,0.014731,0.034786,0.005535,0.024874,3.131349,5.990414,1.140024,0.592246,0.926363,0.780822,0.576518,2.361374,0.294148,-0.536195,0.156501,0.016463
45.17,0.050369,0.054556,0.191852,0.167074,2.609832,1.900998,0.44538,0.301475,12.6752,11.50263,0.076745,1.083125,0.033693,-1.04031,0.292043,0.021526
16.11,0.045244,0.066193,0.084928,0.08983,4.677914,1.672988,0.992651,0.503661,1.619721,0.913313,0.316491,1.463038,-0.027226,0.278404,1.096702,0.062197
